Date,Close,High,Low,Open,Volume
2010-01-04,6.447412490844727,6.462174503704558,6.398306071826209,6.429939013987944,493729600
2010-01-05,6.458559513092041,6.495012835085951,6.424515979042845,6.465187536085361,601904800
2010-01-06,6.355827331542969,6.484167138135582,6.3491993087984255,6.458559270675418,552160000
2010-01-07,6.344075679779053,6.386856141016522,6.297982012460056,6.379324298855953,477131200
2010-01-08,6.386253833770752,6.386856783438807,6.2982847241288615,6.335641056064525,447610800
2010-01-11,6.329918384552002,6.416984085245418,6.279907746319512,6.4109586102211065,462229600
2010-01-12,6.257915496826172,6.319675818603437,6.218751111276281,6.302201536747737,594459600
2010-01-13,6.346185684204102,6.354621348870986,6.148856614796813,6.262434400653872,605892000
2010-01-14,6.3094305992126465,6.340461387597695,6.297078779938439,6.329917210495504,432894000
2010-01-15,6.203988075256348,6.374806663969704,6.202180432834918,6.354621323597082,594067600
2010-01-19,6.478442668914795,6.482961775425333,6.243455163886841,6.276292797826078,730007600
2010-01-20,6.378724098205566,6.493807463624537,6.311541252356983,6.474526344050393,612152800
2010-01-21,6.268458366394043,6.426322579669442,6.242549630635982,6.3892671183737875,608154400
2010-01-22,5.9575514793396,6.251286519528251,5.939777134257592,6.229595616070551,881767600
2010-01-25,6.11782693862915,6.166932957964226,6.03106209739236,6.100956008450739,1065699600
2010-01-26,6.204288959503174,6.438373409332771,6.10306340366563,6.204590233221165,1867110000
2010-01-27,6.262734889984131,6.344076380900434,6.011176563069235,6.231704099087753,1722568400
2010-01-28,6.0039496421813965,6.191036700932611,5.986175287577182,6.1738648940936125,1173502400
2010-01-29,5.786132335662842,6.0916171344672545,5.731602983925352,6.0578752729396514,1245952400
2010-02-01,5.8665690422058105,5.904830001735351,5.763234565443597,5.795470050327659,749876400
2010-02-02,5.9006147384643555,5.914473336182644,5.825900831504963,5.902121510016358,698342400
2010-02-03,6.002140045166016,6.0313632000319,5.85723057267884,5.8798257042848,615328000
2010-02-04,5.785829544067383,5.9762296979069385,5.7713684062961494,5.926821614991061,757652000
2010-02-05,5.888561725616455,5.904830508555619,5.749677740994549,5.803303665472851,850306800
2010-02-08,5.848191738128662,5.9614682478885035,5.844576453346718,5.895490909556517,478270800
2010-02-09,5.910555362701416,5.950021022671276,5.8671727412085986,5.917484257669014,632886800
2010-02-10,5.878319263458252,5.922907380790376,5.852410522773939,5.901516540114853,370361600
2010-02-11,5.985269069671631,6.017806235918528,5.846385073937929,5.8710891218466665,550345600
2010-02-12,6.036784648895264,6.074744331976504,5.889766295941785,5.968396723266131,655468800
